

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.1 MpHOx revB
// Sampling period (s)	30
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:   	20, 1
// Vk sps, trials:   	20, 5
// Ib sps, trials:   	20, 1
// Vb sps, trials:   	20, 5
// Vbias sps,trials: 	40, 1
// Pump on time (s):	0
// Low battery voltage:	6.5
// Output mode:        	Normal
// Deploy time:   	2022/06/22 00:12:10
// Time zone:       	GMT
// TCOffset:     	0.000000
// k0int:        	-0.400000
// k0ext:        	-1.300000
// k2int:        	-0.001455
// k2ext:        	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik:    	0.000000
// Offset Ib:    	0.000000
// S-H c0        	340.981986
// S-H c1        	-0.000091
// S-H c2        	-95.088067
// S-H c3        	0.965370
// Version Info: 	v4.1.1 MpHOx revB
// File name:     	YODA22_1.txt
// User initials: 	yt
// Board SN:      	A001030
// MCAP SN:       	D000042
// DuraFET SN:    	GDF
// Optode SN:     	CHECK ON NEXT DISASSEM
// CTD SN:        	NA
// Pump1 SN:      	05 10677
// Pump2 SN:      	na
// Package name:  	MpHOx001
// Fab Note:      	2021_R30 installed, single input bias
// Deploy note:   	YODA22 mpHOx
// A -- Sample Num               = 1
// B -- MM/DD/YYYY HH:MM:SS      = 1
// C -- Battery Volt             = 1
// D -- Bias Battery Pos         = 1
// E -- Bias Battery Neg         = 1
// F -- Board Temperature        = 1
// G -- Board Humidity           = 1
// H -- Vthermistor              = 0
//      Vtermistor Std           = 0
// I -- Temperature Calc         = 0
// J -- Vrsi (Int Ref pH volt)   = 0
//      Vrsi Std                 = 0
// K -- pH Vrsi Calc             = 0
// L -- Vrse (Ext Ref pH volt)   = 1
//      Vrse Std                 = 1
// M -- pH Vrse Calc             = 0
// N -- Vrsi Biased (7pH=0v)     = 0
// O -- Vrsi Biased Std          = 0
// P -- Vrse Biased (7pH=0v)     = 0
// Q -- Vrse Biased Std          = 0
// R -- Counter Electrode Vk     = 1
//      Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current        = 1
// V -- Optode                   = 1
// W -- Conductivity             = 1,  SBE37 MicroCat
// X -- OCR-504                  = 0
//--**************************************************


 SampNum	     MM/DD/YYYY HH:MM:SS	VbatMain	VbiasPos	VbiasNeg	 TC_cont	Humidity	    Vrse	Vrse_std	      Vk	  Vk_std	      Ik	      Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	pSal	Pres	Date_MC	Time_MC
#0000041	06/22/2022 00:32:30	   10.58	    3.63	   -3.58	   21.49	      27	-0.930705	0.000011	-0.857975	0.000030	   -8.12	  -1.563	5730	1914	320.134	95.323	12.102	31.047	31.796	38.943	7.148	737.2	659.1	477.5	  15.9872	  3.88051	   -0.118	  30.5044	 22 Jun 2022	 00:32:29
#0000042	06/22/2022 00:33:00	   10.58	    3.63	   -3.57	   21.36	      27	-0.931408	0.000012	-0.858330	0.000048	   -1.97	  -1.504	5730	1914	308.979	91.848	12.028	31.479	32.228	39.372	7.143	751.0	659.8	479.8	  16.1189	  3.87621	   -0.118	  30.3659	 22 Jun 2022	 00:32:59
#0000043	06/22/2022 00:33:30	   10.58	    3.63	   -3.58	   21.62	      27	-0.931253	0.000007	-0.858458	0.000018	   -9.03	  -1.553	5730	1914	314.049	93.574	12.131	31.250	31.999	39.141	7.142	743.9	660.5	476.5	  16.0026	  3.89292	   -0.118	  30.6012	 22 Jun 2022	 00:33:29
#0000044	06/22/2022 00:34:00	   10.56	    3.63	   -3.58	   21.36	      27	-0.931036	0.000005	-0.858487	0.000040	   -5.71	  -1.541	5730	1914	318.135	94.868	12.167	31.089	31.838	38.977	7.139	738.9	661.2	475.4	  15.8052	  3.89830	   -0.117	  30.8012	 22 Jun 2022	 00:33:59
#0000045	06/22/2022 00:34:30	   10.60	    3.63	   -3.58	   21.62	      27	-0.931012	0.000008	-0.858278	0.000049	   -2.69	  -1.493	5730	1914	321.001	95.646	12.132	31.004	31.753	38.886	7.134	736.3	662.0	476.5	  15.7043	  3.88758	   -0.118	  30.7854	 22 Jun 2022	 00:34:29
#0000046	06/22/2022 00:35:00	   10.56	    3.63	   -3.58	   21.23	      27	-0.930055	0.000012	-0.858109	0.000030	   -1.14	  -1.544	5730	1914	329.328	98.267	12.194	30.690	31.439	38.572	7.133	726.4	662.7	474.5	  15.4756	  3.90627	   -0.119	  31.1301	 22 Jun 2022	 00:34:59
#0000047	06/22/2022 00:35:30	   10.56	    3.63	   -3.58	   21.23	      27	-0.929935	0.000006	-0.857878	0.000037	  -15.58	  -1.534	5730	1914	333.593	99.481	12.168	30.557	31.306	38.439	7.133	722.3	663.3	475.3	  15.2964	  3.90244	   -0.119	  31.2382	 22 Jun 2022	 00:35:29
#0000048	06/22/2022 00:36:00	   10.55	    3.63	   -3.58	   21.10	      27	-0.929796	0.000008	-0.857773	0.000059	   -0.21	  -1.491	5730	1914	335.049	99.997	12.204	30.494	31.243	38.375	7.132	720.2	664.0	474.2	  15.2534	  3.90628	   -0.119	  31.3068	 22 Jun 2022	 00:35:59
#0000049	06/22/2022 00:36:30	   10.56	    3.63	   -3.58	   21.10	      27	-0.929683	0.000005	-0.857700	0.000039	   -0.28	  -1.544	5730	1914	337.439	100.745	12.220	30.408	31.157	38.287	7.130	717.6	664.6	473.7	  15.2858	  3.89932	   -0.119	  31.2188	 22 Jun 2022	 00:36:29
#0000050	06/22/2022 00:37:00	   10.55	    3.63	   -3.58	   20.85	      27	-0.929536	0.000009	-0.857594	0.000009	   -1.11	  -1.532	5730	1914	338.703	101.209	12.257	30.351	31.100	38.224	7.124	715.9	665.2	472.5	  15.2038	  3.90417	   -0.119	  31.3274	 22 Jun 2022	 00:36:59
#0000051	06/22/2022 00:37:30	   10.55	    3.63	   -3.58	   20.85	      27	-0.930148	0.000009	-0.857755	0.000073	  -17.20	  -1.510	5730	1914	330.270	98.372	12.115	30.691	31.440	38.565	7.125	727.0	665.7	477.0	  15.1297	  3.89194	   -0.118	  31.2773	 22 Jun 2022	 00:37:29
