

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.4 MpHOx revB
// Sampling period (s)	600
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:	20, 1
// Vk sps, trials:	20, 5
// Ib sps, trials:	20, 1
// Vb sps, trials:	20, 5
// Vbias sps,trials: 	40, 1
// Pump start delay: 	0
// Pump seq type:	PUMP_SINGLE
// Pump on time (s):	10
// Low battery voltage:	10.0
// Output mode:	Normal
// Deploy time:	2023/01/30 23:52:36
// Time zone: 	Local
// TCOffset:	0.000000
// k0int:	-0.400000
// k0ext:	-1.300000
// k2int:	-0.001455
// k2ext:	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik: 	0.000000
// Offset Ib: 	0.000000
// S-H c0	340.981986
// S-H c1	-0.000091
// S-H c2	-95.088067
// S-H c3	0.965370
// Version Info: 	v4.1.4 MpHOx revB
// File name:	01302023.txt
// User initials: 	JKW
// Board SN:	A001030
// MCAP SN: 	D000042
// DuraFET SN: 	DSD172
// Optode SN:	1911
// CTD SN:	NA
// Pump1 SN:	NA
// Pump2 SN:	NA
// Package name:	mpHOx001
// Fab Note:	2020 R30 installed, unipolar bias
// Deploy note:	FT for k0 alongside CANARY
// MicroSD Logging:	1
// Uart Echo:	1
// App Exec:	0
// A -- Sample Num= 1
// B -- MM/DD/YYYY HH:MM:SS= 1
// C -- Battery Volt = 1
// D -- Bias Battery Pos= 1
// E -- Bias Battery Neg= 0
// F -- Board Temperature= 1
// G -- Board Humidity= 1
// H -- Vthermistor= 1
//Vtermistor Std= 1
// I -- Temperature Calc= 1
// J -- Vrsi (Int Ref pH volt)= 0
//Vrsi Std= 0
// K -- pH Vrsi Calc = 0
// L -- Vrse (Ext Ref pH volt)= 1
//Vrse Std= 1
// M -- pH Vrse Calc = 1
// N -- Vrsi Biased (7pH=0v)= 0
// O -- Vrsi Biased Std = 0
// P -- Vrse Biased (7pH=0v)= 0
// Q -- Vrse Biased Std = 0
// R -- Counter Electrode Vk= 1
//Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current= 1
// V -- Optode = 1
// W -- Conductivity = 1,SBE37 MicroCat
// X -- OCR-504= 0
//--**************************************************


SampNum	Sample_Time	VbatMain	VbiasPos	 TC_cont	Humidity	Vtherm	VthrmStd	 TC_Dfet	 Vrse	Vrse_std	pHextEst	Vk	Vk_std	Ik	Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	Pres	pSal	Date_MC	Time_MC
#0000034	01/31/2023 05:30:00	10.50	3.62	13.50	54	0.259392	0.000384	66.092	-0.941655	0.000010	3.512	-0.808812	0.000039	-17.90	-1.900	5730	1914	276.046	84.004	13.067	32.318	33.067	39.871	6.805	856.5	688.7	446.4	13.1066	3.90214	 0.284	33.0592	 31 Jan 2023	 05:32:25
#0000035	01/31/2023 05:40:00	10.51	3.62	13.50	54	0.268548	0.000381	65.027	-0.941881	0.000013	3.511	-0.808813	0.000043	-17.59	-1.894	5730	1914	276.882	84.247	13.061	32.285	33.034	39.830	6.795	855.3	688.8	446.6	13.1004	3.90166	 0.284	33.0600	 31 Jan 2023	 05:42:25
#0000036	01/31/2023 05:50:00	10.50	3.62	13.63	54	0.247737	0.000385	67.506	-0.942103	0.000009	3.502	-0.808759	0.000071	-13.31	-1.876	5730	1914	276.651	84.080	13.010	32.317	33.066	39.863	6.797	856.6	688.8	448.2	13.0360	3.89707	 0.285	33.0729	 31 Jan 2023	 05:52:25
#0000037	01/31/2023 06:00:00	10.51	3.62	13.37	55	0.256046	0.000386	66.491	-0.942296	0.000010	3.504	-0.808732	0.000068	-6.62	-1.918	5730	1914	274.252	83.243	12.952	32.443	33.192	39.986	6.795	861.0	689.0	450.1	12.9720	3.89187	 0.286	33.0795	 31 Jan 2023	 06:02:25
#0000038	01/31/2023 06:10:00	10.50	3.62	13.50	55	0.260546	0.000382	65.956	-0.942477	0.000008	3.502	-0.808684	0.000040	-11.67	-1.920	5730	1914	272.583	82.682	12.923	32.526	33.275	40.062	6.787	863.8	689.2	451.0	12.9458	3.88949	 0.286	33.0799	 31 Jan 2023	 06:12:25
#0000039	01/31/2023 06:20:00	10.51	3.62	13.37	55	0.249903	0.000385	67.238	-0.942692	0.000007	3.498	-0.808684	0.000037	-4.88	-1.928	5730	1914	272.526	82.647	12.913	32.532	33.281	40.070	6.789	864.0	689.5	451.3	12.9460	3.88939	 0.288	33.0788	 31 Jan 2023	 06:22:25
#0000040	01/31/2023 06:30:00	10.51	3.62	13.37	55	0.254095	0.000386	66.726	-0.942900	0.000012	3.498	-0.808677	0.000029	-10.87	-1.896	5730	1914	272.722	82.728	12.925	32.519	33.268	40.053	6.785	863.6	689.7	451.0	12.9619	3.89116	 0.289	33.0816	 31 Jan 2023	 06:32:25
#0000041	01/31/2023 06:40:00	10.51	3.62	12.85	55	0.248648	0.000386	67.393	-0.943010	0.000009	3.493	-0.808624	0.000020	-10.74	-1.872	5730	1914	272.952	82.762	12.905	32.518	33.267	40.047	6.781	863.3	689.7	451.6	12.9413	3.88906	 0.288	33.0797	 31 Jan 2023	 06:42:25
#0000042	01/31/2023 06:50:00	10.51	3.62	13.37	55	0.256519	0.000386	66.434	-0.943173	0.000010	3.495	-0.808534	0.000032	-7.29	-1.853	5730	1914	273.976	83.053	12.895	32.479	33.228	40.007	6.779	862.1	689.8	451.9	12.9312	3.88816	 0.289	33.0801	 31 Jan 2023	 06:52:25
#0000043	01/31/2023 07:00:00	10.49	3.62	13.37	54	0.244162	0.000387	67.954	-0.943364	0.000009	3.485	-0.808571	0.000052	-16.26	-1.899	5730	1914	274.501	83.195	12.886	32.461	33.210	39.983	6.773	861.3	689.9	452.2	12.9236	3.88745	 0.287	33.0800	 31 Jan 2023	 07:02:25
#0000044	01/31/2023 07:10:00	10.53	3.62	13.50	55	0.241261	0.000387	68.322	-0.943513	0.000011	3.483	-0.808582	0.000056	-21.53	-1.859	5730	1914	275.459	83.459	12.872	32.427	33.176	39.948	6.772	860.2	690.0	452.7	12.9085	3.88610	 0.288	33.0804	 31 Jan 2023	 07:12:25
#0000045	01/31/2023 07:20:00	10.50	3.62	13.37	55	0.256683	0.000384	66.415	-0.943613	0.000006	3.487	-0.808484	0.000049	-9.05	-1.932	5730	1914	276.052	83.620	12.862	32.407	33.156	39.922	6.767	859.3	690.0	453.0	12.8997	3.88532	 0.288	33.0807	 31 Jan 2023	 07:22:25
#0000046	01/31/2023 07:30:00	10.54	3.62	13.63	55	0.249652	0.000385	67.269	-0.943791	0.000009	3.483	-0.808445	0.000027	-14.70	-1.952	5730	1914	276.874	83.856	12.855	32.375	33.124	39.886	6.762	858.2	690.1	453.2	12.8947	3.88480	 0.289	33.0801	 31 Jan 2023	 07:32:25
#0000047	01/31/2023 07:40:00	10.51	3.62	13.37	55	0.248026	0.000387	67.470	-0.943893	0.000009	3.480	-0.808401	0.000050	-5.35	-1.934	5730	1914	276.876	83.799	12.824	32.388	33.137	39.899	6.762	858.7	690.3	454.2	12.8567	3.88178	 0.288	33.0847	 31 Jan 2023	 07:42:25
#0000048	01/31/2023 07:50:00	10.50	3.62	13.37	55	0.233623	0.000389	69.315	-0.944042	0.000013	3.472	-0.808287	0.000043	-13.98	-1.959	5730	1914	275.188	83.202	12.778	32.479	33.228	39.988	6.760	861.8	690.3	455.7	12.8047	3.87749	 0.288	33.0895	 31 Jan 2023	 07:52:25
